exp_name,num_frames,num_dct,lr,batch_size,lstm_layers,lstm_hidden,spatial,spectral,metrics,best_epoch,val_loss,val_acc,val_recall,val_auc
aligned_full_model_f10_dct2048,10,2048,0.0001,64,1,256,1,1,1,48,0.9968458726671007,0.7955555319786072,0.8266666531562805,0.8589667081832886
aligned_full_model_f10_dct256,10,256,0.0001,64,1,256,1,1,1,45,0.672171393500434,0.8022222518920898,0.8500000238418579,0.8836110830307007
aligned_full_model_f10_dct512,10,512,0.0001,64,1,256,1,1,1,42,0.8609101359049479,0.7933333516120911,0.8500000238418579,0.8680777549743652
aligned_full_model_f10_dct1024,10,1024,0.0001,64,1,256,1,1,1,25,0.6610181596544054,0.7822222113609314,0.8066666722297668,0.8577888607978821
aligned_full_model_f10_dct2048,10,2048,0.0001,64,1,256,1,1,1,34,0.9773351372612847,0.7755555510520935,0.7666666507720947,0.8547667264938354
aligned_full_model_f10_dct4096,10,4096,0.0001,64,1,256,1,1,1,18,0.7687251705593533,0.7911111116409302,0.8799999952316284,0.8498556017875671
aligned_full_model_f20_dct256,20,256,0.0001,64,1,256,1,1,1,60,0.8441567654079861,0.7911111116409302,0.800000011920929,0.8827999830245972
aligned_full_model_f20_dct512,20,512,0.0001,64,1,256,1,1,1,44,0.8392135789659289,0.7888888716697693,0.800000011920929,0.8704666495323181
aligned_full_model_f20_dct1024,20,1024,0.0001,64,1,256,1,1,1,50,0.996829342312283,0.804444432258606,0.8600000143051147,0.8692666292190552
aligned_full_model_f20_dct2048,20,2048,0.0001,64,1,256,1,1,1,23,0.6132749345567491,0.7555555701255798,0.7166666388511658,0.856688916683197
aligned_full_model_f20_dct4096,20,4096,0.0001,64,1,256,1,1,1,33,0.9383751169840495,0.7822222113609314,0.8433333039283752,0.8604444265365601
aligned_full_model_f30_dct256,30,256,0.0001,64,1,256,1,1,1,56,0.7672724914550781,0.7733333110809326,0.7099999785423279,0.8844778537750244
aligned_full_model_f30_dct512,30,512,0.0001,64,1,256,1,1,1,43,0.7611305491129557,0.7755555510520935,0.7799999713897705,0.8756555914878845
aligned_full_model_f30_dct1024,30,1024,0.0001,64,1,256,1,1,1,39,0.7297555711534288,0.800000011920929,0.79666668176651,0.8812111020088196
aligned_full_model_f30_dct2048,30,2048,0.0001,64,1,256,1,1,1,32,0.6740474446614584,0.7799999713897705,0.7799999713897705,0.8623555302619934
aligned_full_model_f30_dct4096,30,4096,0.0001,64,1,256,1,1,1,39,0.9181330023871528,0.7911111116409302,0.8100000023841858,0.8616222143173218
aligned_full_model_f40_dct256,40,256,0.0001,64,1,256,1,1,1,52,0.7169028472900391,0.7933333516120911,0.7633333206176758,0.8856000900268555
aligned_full_model_f40_dct512,40,512,0.0001,64,1,256,1,1,1,68,0.8878273603651259,0.8177777528762817,0.8433333039283752,0.8839111328125
aligned_full_model_f40_dct1024,40,1024,0.0001,64,1,256,1,1,1,39,0.7442315334743924,0.7955555319786072,0.8500000238418579,0.8681444525718689
aligned_full_model_f40_dct2048,40,2048,0.0001,64,1,256,1,1,1,37,0.8865916612413195,0.7911111116409302,0.8399999737739563,0.8546555638313293
